"Date","Price","Open","High","Low","Vol.","Change %"
"May 27, 2016","19.450","19.650","19.650","19.400","355.49K","0.26%"
"May 26, 2016","19.400","19.150","19.750","19.150","284.63K","0.26%"
"May 25, 2016","19.350","19.300","19.400","19.150","587.78K","0.26%"
"May 24, 2016","19.300","19.150","19.300","19.000","315.74K","0.78%"
"May 23, 2016","19.150","19.300","19.700","18.950","375.63K","-1.54%"
"May 20, 2016","19.450","19.250","19.600","19.250","674.47K","-0.51%"
"May 19, 2016","19.550","19.950","19.950","19.500","328.53K","-1.51%"
"May 18, 2016","19.850","20.150","20.150","19.650","380.42K","-0.50%"
"May 17, 2016","19.950","20.400","20.500","19.900","791.02K","-0.75%"
"May 16, 2016","20.100","19.500","20.150","19.350","1.04M","3.61%"
"May 13, 2016","19.400","19.150","19.550","19.100","993.19K","1.31%"
"May 12, 2016","19.150","19.200","19.300","19.100","1.22M","0.00%"
"May 11, 2016","19.150","19.350","19.350","19.050","2.84M","0.26%"
"May 10, 2016","19.100","19.200","19.450","18.950","952.11K","-1.29%"
"May 09, 2016","19.350","19.250","19.550","18.850","521.07K","1.04%"
"May 06, 2016","19.150","19.400","19.410","18.600","539.02K","-1.54%"
"May 05, 2016","19.450","19.050","19.500","19.050","622.07K","0.00%"
"May 04, 2016","19.450","19.750","19.800","19.200","404.52K","-1.02%"
"May 03, 2016","19.650","19.600","19.950","19.600","341.49K","-0.76%"
"Apr 29, 2016","19.800","19.750","20.000","19.500","1.87M","0.51%"
"Apr 28, 2016","19.700","19.500","19.800","19.500","727.51K","2.60%"
"Apr 27, 2016","19.200","20.000","20.150","19.100","1.02M","-4.71%"
"Apr 26, 2016","20.150","20.350","20.400","20.150","207.58K","-0.74%"
"Apr 25, 2016","20.300","20.250","20.600","20.150","753.21K","-0.49%"
"Apr 22, 2016","20.400","20.850","20.850","20.250","208.26K","-0.73%"
"Apr 21, 2016","20.550","21.250","21.250","20.550","669.62K","-0.24%"
"Apr 20, 2016","20.600","20.800","20.800","20.450","210.50K","-0.24%"
"Apr 19, 2016","20.650","20.900","21.100","20.250","716.64K","1.72%"
"Apr 18, 2016","20.300","21.000","21.000","20.250","431.15K","-4.47%"
"Apr 15, 2016","21.250","21.500","21.900","20.600","313.22K","-1.16%"
"Apr 14, 2016","21.500","21.300","21.650","21.000","417.18K","1.65%"
"Apr 13, 2016","21.150","20.800","21.200","20.700","624.96K","2.17%"
"Apr 12, 2016","20.700","20.950","20.950","20.500","167.96K","-0.24%"
"Apr 11, 2016","20.750","21.200","21.200","20.500","386.73K","0.97%"
"Apr 08, 2016","20.550","20.250","20.700","20.250","151.76K","0.49%"
"Apr 07, 2016","20.450","20.550","21.200","20.250","317.36K","-1.92%"
"Apr 06, 2016","20.850","20.150","21.050","20.150","182.73K","3.47%"
"Apr 05, 2016","20.150","20.800","20.800","19.550","476.04K","-2.89%"
"Apr 04, 2016","20.750","20.850","20.900","20.100","175.84K","0.00%"
"Apr 01, 2016","20.750","20.500","21.250","20.050","313.43K","-2.12%"
"Mar 31, 2016","21.200","20.050","21.550","19.900","653.18K","4.95%"
"Mar 30, 2016","20.200","20.100","20.900","20.050","1.01M","0.00%"
"Mar 29, 2016","20.200","19.600","20.500","19.350","332.00K","-0.74%"
"Mar 24, 2016","20.350","20.600","20.600","19.850","424.91K","-1.69%"
"Mar 23, 2016","20.700","21.100","21.550","20.550","551.39K","-1.66%"
"Mar 22, 2016","21.050","20.850","21.850","20.800","1.26M","0.24%"
"Mar 21, 2016","21.000","20.650","21.350","19.900","1.09M","-1.64%"
"Mar 18, 2016","21.350","20.350","21.450","20.300","1.31M","4.66%"
"Mar 17, 2016","20.400","19.050","20.750","19.050","898.77K","8.22%"
"Mar 16, 2016","18.850","18.500","19.100","18.500","129.26K","-0.79%"
"Mar 15, 2016","19.000","18.800","19.150","18.650","169.94K","0.00%"
"Mar 14, 2016","19.000","19.000","19.300","18.700","144.28K","-0.52%"
"Mar 11, 2016","19.100","19.000","19.200","18.600","467.28K","1.60%"
"Mar 10, 2016","18.800","18.300","19.200","18.100","340.51K","1.62%"
"Mar 09, 2016","18.500","19.400","19.400","18.150","258.00K","-1.86%"
"Mar 08, 2016","18.850","19.000","19.250","18.700","257.47K","-0.79%"
"Mar 07, 2016","19.000","19.300","19.550","18.050","330.38K","1.33%"
"Mar 04, 2016","18.750","17.800","18.800","17.800","335.05K","3.31%"
"Mar 03, 2016","18.150","17.550","18.450","17.550","123.55K","1.97%"
"Mar 02, 2016","17.800","18.700","19.000","17.800","232.54K","-5.07%"
"Mar 01, 2016","18.750","19.000","19.000","17.991","240.70K","0.54%"
"Feb 29, 2016","18.650","17.500","18.900","17.450","512.15K","5.07%"
"Feb 26, 2016","17.750","17.100","18.150","17.100","339.01K","4.41%"
"Feb 25, 2016","17.000","16.700","17.250","16.500","229.09K","3.98%"
"Feb 24, 2016","16.350","16.600","16.850","16.100","539.11K","-3.82%"
"Feb 23, 2016","17.000","17.300","17.550","17.000","90.28K","-2.30%"
"Feb 22, 2016","17.400","16.750","17.400","16.750","251.20K","3.88%"
"Feb 19, 2016","16.750","16.950","17.400","16.750","722.07K","-2.62%"
"Feb 18, 2016","17.200","16.500","17.200","16.500","1.01M","4.88%"
"Feb 17, 2016","16.400","15.950","16.400","15.950","701.36K","2.18%"
"Feb 16, 2016","16.050","17.200","17.200","16.000","237.69K","-2.43%"
"Feb 15, 2016","16.450","16.500","16.600","16.200","141.44K","2.81%"
"Feb 12, 2016","16.000","16.150","16.400","15.650","182.79K","0.95%"
"Feb 11, 2016","15.850","16.300","16.500","15.500","558.97K","-3.94%"
"Feb 10, 2016","16.500","16.500","16.550","16.300","217.47K","0.30%"
"Feb 09, 2016","16.450","17.000","18.150","16.200","417.55K","-6.00%"
"Feb 08, 2016","17.500","18.050","18.250","17.500","381.15K","-3.85%"
"Feb 05, 2016","18.200","17.400","18.350","17.400","490.80K","2.82%"
"Feb 04, 2016","17.700","17.900","18.500","17.650","803.45K","3.21%"
"Feb 03, 2016","17.150","16.950","17.500","16.950","480.36K","1.18%"
"Feb 02, 2016","16.950","17.500","18.700","16.500","582.79K","-6.61%"
"Feb 01, 2016","18.150","18.250","18.900","17.800","560.51K","-1.89%"
"Jan 29, 2016","18.500","18.300","19.300","18.300","670.81K","1.65%"
"Jan 28, 2016","18.200","17.050","18.750","16.550","810.64K","8.33%"
"Jan 27, 2016","16.800","16.100","16.800","15.800","346.22K","3.70%"
"Jan 26, 2016","16.200","16.850","17.400","16.050","409.32K","-2.99%"
"Jan 25, 2016","16.700","16.300","17.600","16.300","157.17K","-1.76%"
"Jan 22, 2016","17.000","16.000","17.000","15.900","516.79K","8.63%"
"Jan 21, 2016","15.650","15.150","15.750","15.150","285.47K","2.62%"
"Jan 20, 2016","15.250","16.050","16.050","15.150","427.96K","-5.57%"
"Jan 19, 2016","16.150","15.500","16.250","15.500","465.48K","4.19%"
"Jan 18, 2016","15.500","14.650","15.650","14.650","165.21K","3.68%"
"Jan 15, 2016","14.950","15.850","15.850","14.800","790.16K","-2.92%"
"Jan 14, 2016","15.400","15.750","15.950","14.950","746.88K","-2.84%"
"Jan 13, 2016","15.850","16.200","16.200","15.750","408.23K","-0.94%"
"Jan 12, 2016","16.000","16.650","16.650","15.800","648.31K","-1.23%"
"Jan 11, 2016","16.200","16.700","17.000","16.050","300.12K","-4.71%"
"Jan 08, 2016","17.000","17.100","17.150","16.850","391.35K","0.59%"
"Jan 07, 2016","16.900","17.550","17.550","16.650","599.25K","-3.98%"
"Jan 06, 2016","17.600","17.900","18.150","17.600","415.23K","-2.22%"
"Jan 05, 2016","18.000","18.500","18.500","17.950","185.07K","-0.83%"
"Jan 04, 2016","18.150","18.400","18.700","17.950","358.11K","-4.22%"
"Dec 31, 2015","18.950","18.500","18.950","18.500","87.55K","1.88%"
"Dec 30, 2015","18.600","18.600","19.000","18.600","250.70K","0.00%"
"Dec 29, 2015","18.600","18.650","19.000","18.600","75.85K","-1.06%"
"Dec 24, 2015","18.800","18.900","19.100","18.800","53.97K","-0.27%"
"Dec 23, 2015","18.850","19.150","19.250","18.800","734.49K","-1.82%"
"Dec 22, 2015","19.200","18.450","19.350","18.450","265.83K","1.32%"
